Site,Sample depth,Age,Mg/Ca,Mg/Ca adj,Species,Paleodepth,Reference
ODP0761,,12.617,2.37,2.39,Oridorsalis umbonatus,2226,LearMawbeyRosenthal10
ODP0761,,12.638,2.4,2.42,Oridorsalis umbonatus,2226,LearMawbeyRosenthal10
ODP0926,277.43,12.656,1.17,1.66,Cibicidoides wuellerstorfi,3644,LearRosenthalWright03
ODP0926,277.43,12.656,1.58,1.77,Oridorsalis umbonatus,3644,LearRosenthalWright03
ODP0761,,12.678,2.4,2.42,Oridorsalis umbonatus,2226,LearMawbeyRosenthal10
ODP0761,,12.699,2.43,2.45,Oridorsalis umbonatus,2226,LearMawbeyRosenthal10
ODP0747,,12.699,1.82,2.01,Cibicidoides mundulus,1715,BillupsSchrag02
ODP0761,,12.719,2.34,2.36,Oridorsalis umbonatus,2226,LearMawbeyRosenthal10
ODP0761,,12.739,2.38,2.4,Oridorsalis umbonatus,2226,LearMawbeyRosenthal10
ODP0761,,12.76,2.5,2.52,Oridorsalis umbonatus,2226,LearMawbeyRosenthal10
ODP0761,,12.78,2.31,2.33,Oridorsalis umbonatus,2226,LearMawbeyRosenthal10
ODP1171,144.2,12.786,1.63,1.8,Cibicidoides mundulus,1896,ShevenellKennettOthers08
ODP0761,,12.801,2.59,2.61,Oridorsalis umbonatus,2226,LearMawbeyRosenthal10
ODP0761,,12.821,2.24,2.26,Oridorsalis umbonatus,2226,LearMawbeyRosenthal10
ODP0761,,12.842,2.24,2.26,Oridorsalis umbonatus,2226,LearMawbeyRosenthal10
ODP1171,145.5,12.856,1.71,1.9,Cibicidoides mundulus,1895,ShevenellKennettOthers08
ODP0761,,12.862,2.16,2.18,Oridorsalis umbonatus,2226,LearMawbeyRosenthal10
DSDP573,185.81,12.864,1.11,1.49,Cibicidoides mundulus,4033,LearElderfieldOthers00
ODP0926,280.73,12.87,1.08,1.53,Cibicidoides wuellerstorfi,3643,LearRosenthalWright03
ODP0926,280.73,12.87,1.68,2.1,Cibicidoides mundulus,3643,LearRosenthalWright03
ODP0926,280.73,12.87,2.03,2.22,Oridorsalis umbonatus,3643,LearRosenthalWright03
ODP1171,145.9,12.88,1.67,1.84,Cibicidoides mundulus,1894,ShevenellKennettOthers08
ODP0761,,12.883,2.51,2.53,Oridorsalis umbonatus,2226,LearMawbeyRosenthal10
ODP1171,146.3,12.9,1.62,1.79,Cibicidoides mundulus,1894,ShevenellKennettOthers08
ODP1171,146.7,12.917,1.31,1.41,Cibicidoides mundulus,1893,ShevenellKennettOthers08
ODP1171,147.1,12.934,1.61,1.78,Cibicidoides mundulus,1893,ShevenellKennettOthers08
ODP0761,,12.945,2.2,2.22,Oridorsalis umbonatus,2227,LearMawbeyRosenthal10
ODP1171,147.5,12.951,1.39,1.52,Cibicidoides mundulus,1893,ShevenellKennettOthers08
ODP0761,,12.965,2.28,2.3,Oridorsalis umbonatus,2227,LearMawbeyRosenthal10
ODP1171,147.9,12.969,1.52,1.67,Cibicidoides mundulus,1893,ShevenellKennettOthers08
ODP0761,,12.986,2.4,2.42,Oridorsalis umbonatus,2227,LearMawbeyRosenthal10
ODP1171,148.3,12.986,1.61,1.77,Cibicidoides mundulus,1892,ShevenellKennettOthers08
ODP0747,,12.989,1.97,2.19,Cibicidoides mundulus,1715,BillupsSchrag02
ODP0757,81.9,12.998,2.03,2.54,Cibicidoides wuellerstorfi,1457,BillupsSchrag03
ODP0757,81.9,12.998,2.04,2.55,Cibicidoides wuellerstorfi,1457,BillupsSchrag03
ODP0761,,13.006,2.45,2.47,Oridorsalis umbonatus,2227,LearMawbeyRosenthal10
ODP1171,148.8,13.008,1.84,2.05,Cibicidoides mundulus,1892,ShevenellKennettOthers08
ODP0761,,13.027,2.15,2.17,Oridorsalis umbonatus,2227,LearMawbeyRosenthal10
ODP1171,149.2,13.03,1.61,1.78,Cibicidoides mundulus,1891,ShevenellKennettOthers08
ODP1171,149.4,13.042,1.75,1.94,Cibicidoides mundulus,1891,ShevenellKennettOthers08
ODP0761,,13.048,2.35,2.37,Oridorsalis umbonatus,2227,LearMawbeyRosenthal10
ODP0926,284.56,13.051,1.62,1.8,Oridorsalis umbonatus,3644,LearRosenthalWright03
ODP0926,284.56,13.051,1.16,1.47,Cibicidoides mundulus,3644,LearRosenthalWright03
ODP0926,284.56,13.051,1.22,1.71,Cibicidoides wuellerstorfi,3644,LearRosenthalWright03
ODP0761,,13.068,2.39,2.41,Oridorsalis umbonatus,2227,LearMawbeyRosenthal10
ODP1171,150,13.075,1.57,1.73,Cibicidoides mundulus,1890,ShevenellKennettOthers08
ODP0761,,13.089,2.32,2.34,Oridorsalis umbonatus,2227,LearMawbeyRosenthal10
ODP0747,,13.096,2.25,2.53,Cibicidoides mundulus,1715,BillupsSchrag02
ODP0761,,13.109,2.3,2.32,Oridorsalis umbonatus,2227,LearMawbeyRosenthal10
ODP0761,,13.13,2.44,2.46,Oridorsalis umbonatus,2227,LearMawbeyRosenthal10
ODP0761,,13.171,2.14,2.16,Oridorsalis umbonatus,2227,LearMawbeyRosenthal10
ODP0761,,13.192,2.33,2.35,Oridorsalis umbonatus,2228,LearMawbeyRosenthal10
ODP0761,,13.212,2.44,2.46,Oridorsalis umbonatus,2228,LearMawbeyRosenthal10
ODP0761,,13.233,2.35,2.37,Oridorsalis umbonatus,2228,LearMawbeyRosenthal10
ODP0926,287.16,13.239,1.57,1.75,Oridorsalis umbonatus,3643,LearRosenthalWright03
ODP0926,287.16,13.239,1.25,1.76,Cibicidoides wuellerstorfi,3643,LearRosenthalWright03
ODP0761,,13.253,2.35,2.37,Oridorsalis umbonatus,2228,LearMawbeyRosenthal10
DSDP573,195.59,13.271,1.45,1.89,Cibicidoides mundulus,4024,LearElderfieldOthers00
ODP0761,,13.274,2.58,2.6,Oridorsalis umbonatus,2228,LearMawbeyRosenthal10
ODP0761,,13.315,2.35,2.37,Oridorsalis umbonatus,2228,LearMawbeyRosenthal10
ODP1171,153.9,13.32,1.67,1.84,Cibicidoides mundulus,1885,ShevenellKennettOthers08
ODP0761,,13.335,2.42,2.44,Oridorsalis umbonatus,2228,LearMawbeyRosenthal10
ODP1171,154.3,13.345,1.35,1.46,Cibicidoides mundulus,1884,ShevenellKennettOthers08
ODP0761,,13.355,2.2,2.22,Oridorsalis umbonatus,2228,LearMawbeyRosenthal10
ODP1171,154.5,13.358,1.37,1.49,Cibicidoides mundulus,1884,ShevenellKennettOthers08
ODP0761,,13.376,2.22,2.24,Oridorsalis umbonatus,2228,LearMawbeyRosenthal10
ODP1171,154.9,13.383,1.65,1.82,Cibicidoides mundulus,1884,ShevenellKennettOthers08
ODP0926,289.79,13.411,1.12,1.58,Cibicidoides wuellerstorfi,3642,LearRosenthalWright03
ODP0926,289.79,13.411,1.42,1.61,Oridorsalis umbonatus,3642,LearRosenthalWright03
ODP0747,,13.416,,,Cibicidoides mundulus,1716,BillupsSchrag02
ODP0761,,13.416,2.44,2.46,Oridorsalis umbonatus,2228,LearMawbeyRosenthal10
ODP1171,155.7,13.431,1.67,1.85,Cibicidoides mundulus,1883,ShevenellKennettOthers08
ODP1171,156.1,13.456,1.8,2,Cibicidoides mundulus,1882,ShevenellKennettOthers08
ODP0926,291.28,13.468,1.45,1.64,Oridorsalis umbonatus,3643,LearRosenthalWright03
ODP0926,291.28,13.468,1.53,1.91,Cibicidoides mundulus,3643,LearRosenthalWright03
ODP0926,291.28,13.468,1.38,1.95,Cibicidoides wuellerstorfi,3643,LearRosenthalWright03
ODP1171,156.3,13.469,1.83,2.04,Cibicidoides mundulus,1882,ShevenellKennettOthers08
ODP0761,,13.477,2.17,2.19,Oridorsalis umbonatus,2228,LearMawbeyRosenthal10
ODP1171,156.5,13.481,1.48,1.61,Cibicidoides mundulus,1881,ShevenellKennettOthers08
ODP1171,156.9,13.506,1.53,1.68,Cibicidoides mundulus,1881,ShevenellKennettOthers08
ODP0761,,13.517,2.3,2.32,Oridorsalis umbonatus,2229,LearMawbeyRosenthal10
ODP1171,157.3,13.531,1.67,1.85,Cibicidoides mundulus,1880,ShevenellKennettOthers08
ODP1171,157.5,13.543,1.85,2.06,Cibicidoides mundulus,1880,ShevenellKennettOthers08
ODP1171,157.7,13.555,1.7,1.88,Cibicidoides mundulus,1880,ShevenellKennettOthers08
ODP0761,,13.557,2.44,2.46,Oridorsalis umbonatus,2229,LearMawbeyRosenthal10
ODP1171,157.9,13.568,1.74,1.93,Cibicidoides mundulus,1880,ShevenellKennettOthers08
ODP0757,83.4,13.571,1.91,2.37,Cibicidoides wuellerstorfi,1445,BillupsSchrag03
ODP0757,83.4,13.571,2.05,2.26,Cibicidoides mundulus,1445,BillupsSchrag03
ODP0761,,13.577,2.36,2.38,Oridorsalis umbonatus,2229,LearMawbeyRosenthal10
ODP1171,158.1,13.58,1.84,2.05,Cibicidoides mundulus,1879,ShevenellKennettOthers08
ODP1171,158.3,13.593,1.52,1.66,Cibicidoides mundulus,1879,ShevenellKennettOthers08
ODP0761,,13.597,2.58,2.6,Oridorsalis umbonatus,2229,LearMawbeyRosenthal10
ODP1171,158.5,13.605,1.66,1.83,Cibicidoides mundulus,1879,ShevenellKennettOthers08
ODP1171,158.7,13.612,1.63,1.79,Cibicidoides mundulus,1879,ShevenellKennettOthers08
ODP0761,,13.617,2.28,2.3,Oridorsalis umbonatus,2229,LearMawbeyRosenthal10
ODP1171,158.9,13.62,1.51,1.66,Cibicidoides mundulus,1878,ShevenellKennettOthers08
DSDP573,203.33,13.622,1.56,2.29,Cibicidoides wuellerstorfi,4017,LearElderfieldOthers00
ODP1171,159.1,13.627,1.58,1.74,Cibicidoides mundulus,1878,ShevenellKennettOthers08
ODP1171,159.3,13.634,1.79,1.99,Cibicidoides mundulus,1878,ShevenellKennettOthers08
ODP1171,159.5,13.641,1.71,1.89,Cibicidoides mundulus,1878,ShevenellKennettOthers08
ODP1171,159.7,13.648,1.47,1.61,Cibicidoides mundulus,1878,ShevenellKennettOthers08
ODP1171,159.9,13.658,1.6,1.76,Cibicidoides mundulus,1878,ShevenellKennettOthers08
ODP0926,295.28,13.66,1.38,1.74,Cibicidoides mundulus,3643,LearRosenthalWright03
ODP0926,295.28,13.66,1.24,1.74,Cibicidoides wuellerstorfi,3643,LearRosenthalWright03
ODP1171,160.1,13.668,1.45,1.58,Cibicidoides mundulus,1878,ShevenellKennettOthers08
ODP1171,160.3,13.678,1.41,1.53,Cibicidoides mundulus,1877,ShevenellKennettOthers08
ODP1171,160.5,13.688,1.47,1.6,Cibicidoides mundulus,1877,ShevenellKennettOthers08
ODP1171,160.7,13.697,1.58,1.74,Cibicidoides mundulus,1877,ShevenellKennettOthers08
ODP0747,,13.699,2.21,2.48,Cibicidoides mundulus,1716,BillupsSchrag02
ODP1171,160.9,13.707,1.32,1.42,Cibicidoides mundulus,1877,ShevenellKennettOthers08
ODP0761,,13.716,2.41,2.43,Oridorsalis umbonatus,2229,LearMawbeyRosenthal10
ODP1171,161.1,13.717,1.68,1.85,Cibicidoides mundulus,1877,ShevenellKennettOthers08
ODP1171,161.3,13.727,1.71,1.89,Cibicidoides mundulus,1877,ShevenellKennettOthers08
ODP1171,161.7,13.752,1.68,1.86,Cibicidoides mundulus,1876,ShevenellKennettOthers08
ODP0761,,13.755,2.47,2.49,Oridorsalis umbonatus,2229,LearMawbeyRosenthal10
ODP1171,161.9,13.767,1.49,1.63,Cibicidoides mundulus,1876,ShevenellKennettOthers08
ODP0761,,13.775,2.39,2.41,Oridorsalis umbonatus,2229,LearMawbeyRosenthal10
ODP1171,162.1,13.781,1.6,1.76,Cibicidoides mundulus,1875,ShevenellKennettOthers08
ODP0761,,13.794,2.43,2.45,Oridorsalis umbonatus,2230,LearMawbeyRosenthal10
ODP1171,162.3,13.795,1.56,1.72,Cibicidoides mundulus,1875,ShevenellKennettOthers08
ODP0926,298.18,13.801,1.67,1.86,Oridorsalis umbonatus,3643,LearRosenthalWright03
ODP1171,162.5,13.809,1.54,1.69,Cibicidoides mundulus,1875,ShevenellKennettOthers08
ODP0761,,13.813,2.42,2.44,Oridorsalis umbonatus,2230,LearMawbeyRosenthal10
ODP1171,162.7,13.824,1.73,1.92,Cibicidoides mundulus,1874,ShevenellKennettOthers08
ODP0926,298.79,13.84,1.36,1.55,Oridorsalis umbonatus,3643,LearRosenthalWright03
ODP0926,298.79,13.84,1.2,1.52,Cibicidoides mundulus,3643,LearRosenthalWright03
ODP1171,163.3,13.867,1.67,1.84,Cibicidoides mundulus,1873,ShevenellKennettOthers08
ODP1171,163.5,13.881,1.61,1.77,Cibicidoides mundulus,1873,ShevenellKennettOthers08
ODP1171,163.7,13.896,1.58,1.74,Cibicidoides mundulus,1873,ShevenellKennettOthers08
ODP1171,163.9,13.909,1.64,1.81,Cibicidoides mundulus,1872,ShevenellKennettOthers08
ODP0761,,13.91,2.43,2.45,Oridorsalis umbonatus,2230,LearMawbeyRosenthal10
ODP1171,164.1,13.924,1.64,1.81,Cibicidoides mundulus,1872,ShevenellKennettOthers08
ODP0747,,13.933,2.44,2.75,Cibicidoides mundulus,1716,BillupsSchrag02
ODP1171,164.3,13.938,1.6,1.76,Cibicidoides mundulus,1871,ShevenellKennettOthers08
ODP1171,164.5,13.953,1.52,1.67,Cibicidoides mundulus,1871,ShevenellKennettOthers08
ODP1171,164.7,13.967,1.67,1.85,Cibicidoides mundulus,1871,ShevenellKennettOthers08
ODP1171,164.9,13.981,1.71,1.9,Cibicidoides mundulus,1870,ShevenellKennettOthers08
ODP1171,165.1,13.995,1.68,1.85,Cibicidoides mundulus,1870,ShevenellKennettOthers08
ODP1171,165.3,14.01,1.64,1.81,Cibicidoides mundulus,1870,ShevenellKennettOthers08
ODP1171,165.5,14.024,1.59,1.75,Cibicidoides mundulus,1869,ShevenellKennettOthers08
ODP1171,165.7,14.038,1.78,1.97,Cibicidoides mundulus,1869,ShevenellKennettOthers08
ODP1171,165.9,14.052,1.77,1.96,Cibicidoides mundulus,1869,ShevenellKennettOthers08
ODP1171,166.1,14.067,1.67,1.84,Cibicidoides mundulus,1868,ShevenellKennettOthers08
ODP1171,166.3,14.081,1.62,1.79,Cibicidoides mundulus,1868,ShevenellKennettOthers08
DSDP573,214.65,14.086,1.4,1.83,Cibicidoides mundulus,4007,LearElderfieldOthers00
ODP1171,166.5,14.095,1.9,2.12,Cibicidoides mundulus,1868,ShevenellKennettOthers08
ODP1171,166.7,14.11,1.61,1.77,Cibicidoides mundulus,1867,ShevenellKennettOthers08
ODP1171,166.9,14.124,1.59,1.75,Cibicidoides mundulus,1867,ShevenellKennettOthers08
ODP1171,167.1,14.139,1.92,2.14,Cibicidoides mundulus,1867,ShevenellKennettOthers08
ODP1171,167.3,14.152,1.76,1.95,Cibicidoides mundulus,1866,ShevenellKennettOthers08
ODP0761,,14.153,2.32,2.34,Oridorsalis umbonatus,2231,LearMawbeyRosenthal10
ODP1171,167.7,14.181,1.66,1.83,Cibicidoides mundulus,1866,ShevenellKennettOthers08
ODP0747,,14.189,2.62,2.97,Cibicidoides mundulus,1716,BillupsSchrag02
ODP1171,167.9,14.196,1.73,1.92,Cibicidoides mundulus,1865,ShevenellKennettOthers08
ODP1171,168.1,14.208,1.55,1.7,Cibicidoides mundulus,1865,ShevenellKennettOthers08
ODP1171,168.3,14.222,1.78,1.97,Cibicidoides mundulus,1865,ShevenellKennettOthers08
ODP1171,168.5,14.235,1.7,1.88,Cibicidoides mundulus,1864,ShevenellKennettOthers08
ODP1171,168.9,14.261,1.57,1.72,Cibicidoides mundulus,1864,ShevenellKennettOthers08
ODP1171,169.1,14.274,1.77,1.96,Cibicidoides mundulus,1863,ShevenellKennettOthers08
ODP1171,169.3,14.288,1.55,1.7,Cibicidoides mundulus,1863,ShevenellKennettOthers08
ODP0761,,14.293,2.49,2.51,Oridorsalis umbonatus,2231,LearMawbeyRosenthal10
ODP1171,169.5,14.301,1.85,2.06,Cibicidoides mundulus,1863,ShevenellKennettOthers08
ODP0761,,14.311,2.68,2.7,Oridorsalis umbonatus,2231,LearMawbeyRosenthal10
ODP0926,307.18,14.322,1.93,2.12,Oridorsalis umbonatus,3642,LearRosenthalWright03
ODP1171,169.9,14.327,1.93,2.15,Cibicidoides mundulus,1862,ShevenellKennettOthers08
ODP1171,170.1,14.34,1.61,1.77,Cibicidoides mundulus,1862,ShevenellKennettOthers08
ODP1171,170.3,14.354,1.77,1.96,Cibicidoides mundulus,1862,ShevenellKennettOthers08
ODP0761,,14.367,2.18,2.2,Oridorsalis umbonatus,2231,LearMawbeyRosenthal10
ODP1171,170.7,14.379,1.72,1.9,Cibicidoides mundulus,1861,ShevenellKennettOthers08
ODP0761,,14.384,2.55,2.57,Oridorsalis umbonatus,2232,LearMawbeyRosenthal10
ODP1171,170.9,14.393,1.49,1.63,Cibicidoides mundulus,1861,ShevenellKennettOthers08
ODP1171,171.1,14.406,1.45,1.58,Cibicidoides mundulus,1860,ShevenellKennettOthers08
ODP1171,171.3,14.419,1.66,1.83,Cibicidoides mundulus,1860,ShevenellKennettOthers08
ODP0761,,14.419,2.72,2.74,Oridorsalis umbonatus,2232,LearMawbeyRosenthal10
ODP0747,,14.432,2.05,2.29,Cibicidoides mundulus,1716,BillupsSchrag02
ODP1171,171.5,14.432,1.88,2.09,Cibicidoides mundulus,1860,ShevenellKennettOthers08
ODP1171,171.7,14.445,1.7,1.88,Cibicidoides mundulus,1859,ShevenellKennettOthers08
ODP1171,171.9,14.459,1.96,2.19,Cibicidoides mundulus,1859,ShevenellKennettOthers08
ODP0761,,14.47,2.32,2.34,Oridorsalis umbonatus,2232,LearMawbeyRosenthal10
ODP1171,172.1,14.471,1.52,1.67,Cibicidoides mundulus,1859,ShevenellKennettOthers08
ODP0747,,14.478,2.05,2.29,Cibicidoides mundulus,1716,BillupsSchrag02
DSDP573,223.98,14.48,1.41,1.84,Cibicidoides mundulus,3998,LearElderfieldOthers00
DSDP573,223.98,14.48,1.7,2.48,Cibicidoides wuellerstorfi,3998,LearElderfieldOthers00
ODP1171,172.3,14.485,1.85,2.06,Cibicidoides mundulus,1858,ShevenellKennettOthers08
ODP1171,172.5,14.498,1.94,2.16,Cibicidoides mundulus,1858,ShevenellKennettOthers08
ODP0761,,14.504,2.51,2.53,Oridorsalis umbonatus,2232,LearMawbeyRosenthal10
ODP1171,172.9,14.524,1.86,2.07,Cibicidoides mundulus,1857,ShevenellKennettOthers08
ODP1171,173.1,14.537,1.84,2.05,Cibicidoides mundulus,1857,ShevenellKennettOthers08
ODP0761,,14.538,2.44,2.46,Oridorsalis umbonatus,2232,LearMawbeyRosenthal10
ODP1171,173.3,14.551,1.6,1.76,Cibicidoides mundulus,1857,ShevenellKennettOthers08
ODP0761,,14.554,2.51,2.53,Oridorsalis umbonatus,2232,LearMawbeyRosenthal10
ODP0757,86.4,14.561,2.12,2.35,Cibicidoides mundulus,1424,BillupsSchrag03
ODP1171,173.5,14.564,1.43,1.56,Cibicidoides mundulus,1857,ShevenellKennettOthers08
ODP0761,,14.571,2.31,2.33,Oridorsalis umbonatus,2232,LearMawbeyRosenthal10
ODP0761,,14.587,2.65,2.67,Oridorsalis umbonatus,2232,LearMawbeyRosenthal10
ODP0747,,14.591,2.62,2.97,Cibicidoides mundulus,1716,BillupsSchrag02
ODP1171,173.9,14.592,1.59,1.75,Cibicidoides mundulus,1856,ShevenellKennettOthers08
ODP0761,,14.604,2.49,2.51,Oridorsalis umbonatus,2232,LearMawbeyRosenthal10
ODP1171,174.1,14.608,1.8,2,Cibicidoides mundulus,1855,ShevenellKennettOthers08
ODP0761,,14.62,2.47,2.49,Oridorsalis umbonatus,2232,LearMawbeyRosenthal10
ODP1171,174.3,14.624,1.59,1.75,Cibicidoides mundulus,1855,ShevenellKennettOthers08
ODP0761,,14.637,2.53,2.55,Oridorsalis umbonatus,2232,LearMawbeyRosenthal10
ODP1171,174.5,14.639,1.55,1.7,Cibicidoides mundulus,1855,ShevenellKennettOthers08
ODP0761,,14.653,2.63,2.65,Oridorsalis umbonatus,2232,LearMawbeyRosenthal10
ODP1171,174.7,14.656,1.42,1.54,Cibicidoides mundulus,1854,ShevenellKennettOthers08
ODP0761,,14.669,2.61,2.63,Oridorsalis umbonatus,2232,LearMawbeyRosenthal10
ODP1171,174.9,14.672,1.72,1.9,Cibicidoides mundulus,1854,ShevenellKennettOthers08
ODP1171,175.1,14.688,1.63,1.8,Cibicidoides mundulus,1853,ShevenellKennettOthers08
ODP0761,,14.701,2.55,2.57,Oridorsalis umbonatus,2233,LearMawbeyRosenthal10
ODP1171,175.3,14.703,1.81,2.01,Cibicidoides mundulus,1853,ShevenellKennettOthers08
ODP0761,,14.717,2.41,2.43,Oridorsalis umbonatus,2233,LearMawbeyRosenthal10
ODP1171,175.5,14.719,1.59,1.74,Cibicidoides mundulus,1853,ShevenellKennettOthers08
ODP0761,,14.733,2.32,2.34,Oridorsalis umbonatus,2233,LearMawbeyRosenthal10
ODP1171,175.7,14.735,1.61,1.77,Cibicidoides mundulus,1852,ShevenellKennettOthers08
ODP0761,,14.749,2.55,2.57,Oridorsalis umbonatus,2233,LearMawbeyRosenthal10
ODP1171,175.9,14.752,1.84,2.05,Cibicidoides mundulus,1852,ShevenellKennettOthers08
ODP1171,176.1,14.767,1.53,1.67,Cibicidoides mundulus,1851,ShevenellKennettOthers08
ODP0926,315.18,14.768,2,2.19,Oridorsalis umbonatus,3641,LearRosenthalWright03
ODP0926,315.18,14.768,1.53,2.15,Cibicidoides wuellerstorfi,3641,LearRosenthalWright03
ODP0761,,14.78,2.54,2.56,Oridorsalis umbonatus,2233,LearMawbeyRosenthal10
ODP1171,176.3,14.783,1.56,1.71,Cibicidoides mundulus,1851,ShevenellKennettOthers08
ODP0761,,14.796,2.42,2.44,Oridorsalis umbonatus,2233,LearMawbeyRosenthal10
ODP0761,,14.812,2.41,2.43,Oridorsalis umbonatus,2233,LearMawbeyRosenthal10
ODP1171,176.7,14.815,1.63,1.79,Cibicidoides mundulus,1850,ShevenellKennettOthers08
ODP0761,,14.827,2.09,2.11,Oridorsalis umbonatus,2233,LearMawbeyRosenthal10
ODP1171,176.9,14.829,1.81,2.01,Cibicidoides mundulus,1850,ShevenellKennettOthers08
ODP0761,,14.842,2.39,2.41,Oridorsalis umbonatus,2233,LearMawbeyRosenthal10
ODP1171,177.1,14.845,1.46,1.58,Cibicidoides mundulus,1849,ShevenellKennettOthers08
ODP0761,,14.858,2.4,2.42,Oridorsalis umbonatus,2233,LearMawbeyRosenthal10
ODP0761,,14.873,2.4,2.42,Oridorsalis umbonatus,2233,LearMawbeyRosenthal10
ODP1171,177.5,14.874,1.84,2.05,Cibicidoides mundulus,1849,ShevenellKennettOthers08
ODP0761,,14.888,2.33,2.35,Oridorsalis umbonatus,2233,LearMawbeyRosenthal10
ODP1171,177.7,14.889,2.01,2.25,Cibicidoides mundulus,1848,ShevenellKennettOthers08
ODP1171,177.9,14.908,2.02,2.26,Cibicidoides mundulus,1848,ShevenellKennettOthers08
ODP0747,,14.922,2,2.23,Cibicidoides mundulus,1716,BillupsSchrag02
ODP1171,178.1,14.924,1.76,1.95,Cibicidoides mundulus,1847,ShevenellKennettOthers08
ODP0761,,14.934,2.34,2.36,Oridorsalis umbonatus,2233,LearMawbeyRosenthal10
ODP1171,178.3,14.94,1.75,1.94,Cibicidoides mundulus,1847,ShevenellKennettOthers08
ODP1171,178.5,14.955,1.46,1.59,Cibicidoides mundulus,1847,ShevenellKennettOthers08
ODP1171,178.7,14.97,1.54,1.69,Cibicidoides mundulus,1846,ShevenellKennettOthers08
ODP0761,,14.978,2.4,2.42,Oridorsalis umbonatus,2234,LearMawbeyRosenthal10
ODP1171,178.9,14.986,1.36,1.46,Cibicidoides mundulus,1846,ShevenellKennettOthers08
ODP1171,179.1,15.002,1.54,1.69,Cibicidoides mundulus,1845,ShevenellKennettOthers08
ODP1171,179.3,15.017,1.7,1.87,Cibicidoides mundulus,1845,ShevenellKennettOthers08
ODP0761,,15.023,2.53,2.55,Oridorsalis umbonatus,2234,LearMawbeyRosenthal10
ODP1171,179.7,15.049,1.65,1.82,Cibicidoides mundulus,1844,ShevenellKennettOthers08
ODP1171,179.9,15.065,1.42,1.54,Cibicidoides mundulus,1844,ShevenellKennettOthers08
ODP0926,319.64,15.066,1.47,1.84,Cibicidoides mundulus,3640,LearRosenthalWright03
ODP0926,319.64,15.066,1.84,2.03,Oridorsalis umbonatus,3640,LearRosenthalWright03
ODP0761,,15.066,2.35,2.37,Oridorsalis umbonatus,2234,LearMawbeyRosenthal10
ODP1171,180.1,15.08,1.5,1.63,Cibicidoides mundulus,1843,ShevenellKennettOthers08
ODP0761,,15.081,2.37,2.39,Oridorsalis umbonatus,2234,LearMawbeyRosenthal10
ODP0761,,15.095,2.65,2.67,Oridorsalis umbonatus,2234,LearMawbeyRosenthal10
ODP1171,180.3,15.095,1.48,1.62,Cibicidoides mundulus,1843,ShevenellKennettOthers08
ODP0761,,15.109,2.34,2.36,Oridorsalis umbonatus,2234,LearMawbeyRosenthal10
ODP1171,180.5,15.111,1.53,1.68,Cibicidoides mundulus,1842,ShevenellKennettOthers08
ODP0761,,15.124,2.38,2.4,Oridorsalis umbonatus,2234,LearMawbeyRosenthal10
ODP1171,180.7,15.127,1.43,1.55,Cibicidoides mundulus,1842,ShevenellKennettOthers08
ODP0761,,15.18,2.63,2.65,Oridorsalis umbonatus,2234,LearMawbeyRosenthal10
ODP0761,,15.208,2.74,2.76,Oridorsalis umbonatus,2234,LearMawbeyRosenthal10
ODP0761,,15.222,2.58,2.6,Oridorsalis umbonatus,2234,LearMawbeyRosenthal10
ODP1171,182.2,15.235,1.74,1.92,Cibicidoides mundulus,1839,ShevenellKennettOthers08
ODP0761,,15.236,2.46,2.48,Oridorsalis umbonatus,2234,LearMawbeyRosenthal10
ODP1171,182.4,15.247,1.68,1.85,Cibicidoides mundulus,1839,ShevenellKennettOthers08
ODP1171,182.6,15.263,1.85,2.06,Cibicidoides mundulus,1839,ShevenellKennettOthers08
ODP0761,,15.264,2.45,2.47,Oridorsalis umbonatus,2234,LearMawbeyRosenthal10
ODP0747,,15.267,2.57,2.91,Cibicidoides mundulus,1717,BillupsSchrag02
ODP1171,182.8,15.274,1.6,1.76,Cibicidoides mundulus,1838,ShevenellKennettOthers08
ODP0761,,15.278,2.3,2.32,Oridorsalis umbonatus,2235,LearMawbeyRosenthal10
ODP1171,183,15.288,1.64,1.81,Cibicidoides mundulus,1838,ShevenellKennettOthers08
ODP0761,,15.291,2.78,2.8,Oridorsalis umbonatus,2235,LearMawbeyRosenthal10
ODP1171,183.2,15.305,1.74,1.92,Cibicidoides mundulus,1838,ShevenellKennettOthers08
ODP1171,183.4,15.319,1.75,1.93,Cibicidoides mundulus,1837,ShevenellKennettOthers08
ODP1171,183.6,15.333,1.53,1.68,Cibicidoides mundulus,1837,ShevenellKennettOthers08
ODP1171,184,15.361,1.53,1.68,Cibicidoides mundulus,1836,ShevenellKennettOthers08
ODP1171,184.2,15.375,1.39,1.51,Cibicidoides mundulus,1836,ShevenellKennettOthers08
ODP1171,184.4,15.389,1.43,1.55,Cibicidoides mundulus,1835,ShevenellKennettOthers08
ODP0761,,15.4,2.58,2.6,Oridorsalis umbonatus,2235,LearMawbeyRosenthal10
ODP0761,,15.408,2.22,2.24,Oridorsalis umbonatus,2235,LearMawbeyRosenthal10
ODP0761,,15.427,2.49,2.51,Oridorsalis umbonatus,2235,LearMawbeyRosenthal10
ODP0926,325.64,15.434,2.17,2.35,Oridorsalis umbonatus,3639,LearRosenthalWright03
ODP0926,325.64,15.434,,,Cibicidoides mundulus,3639,LearRosenthalWright03
ODP0761,,15.44,2.4,2.42,Oridorsalis umbonatus,2235,LearMawbeyRosenthal10
